SteamRatio(mol:mol EB),Pressure(bar),Temperature(K),EconomicPotential($/hr)
6.000000,0.400000,800.000000,83.508168
6.000000,0.400000,805.000000,144.161281
6.000000,0.400000,810.000000,199.304168
6.000000,0.400000,815.000000,249.305642
6.000000,0.400000,820.000000,294.498113
6.000000,0.400000,825.000000,335.188421
6.000000,0.400000,830.000000,371.645403
6.000000,0.400000,835.000000,404.125286
6.000000,0.400000,840.000000,432.844909
6.000000,0.400000,845.000000,458.019132
6.000000,0.400000,850.000000,479.815012
6.000000,0.400000,855.000000,498.401675
6.000000,0.400000,860.000000,513.919867
6.000000,0.400000,865.000000,526.492471
6.000000,0.400000,870.000000,536.236712
6.000000,0.400000,875.000000,543.231727
6.000000,0.400000,880.000000,547.516025
6.000000,0.400000,885.000000,549.252434
6.000000,0.400000,890.000000,548.399845
6.000000,0.400000,895.000000,544.995890
6.000000,0.400000,900.000000,539.059239
6.000000,0.400000,905.000000,530.602931
6.000000,0.400000,910.000000,519.572732
6.000000,0.400000,915.000000,506.027622
6.000000,0.400000,920.000000,489.831512
6.000000,0.400000,925.000000,470.930281
6.000000,0.400000,930.000000,449.330330
6.000000,0.400000,935.000000,424.874471
6.000000,0.400000,940.000000,397.484865
6.000000,0.400000,945.000000,367.042888
6.000000,0.400000,950.000000,333.411798
6.000000,0.500000,800.000000,-53.383868
6.000000,0.500000,805.000000,16.637040
6.000000,0.500000,810.000000,80.554892
6.000000,0.500000,815.000000,138.778976
6.000000,0.500000,820.000000,191.679392
6.000000,0.500000,825.000000,239.595006
6.000000,0.500000,830.000000,282.826671
6.000000,0.500000,835.000000,321.656098
6.000000,0.500000,840.000000,356.330515
6.000000,0.500000,845.000000,387.074698
6.000000,0.500000,850.000000,414.090127
6.000000,0.500000,855.000000,437.560753
6.000000,0.500000,860.000000,457.645990
6.000000,0.500000,865.000000,474.488237
6.000000,0.500000,870.000000,488.173052
6.000000,0.500000,875.000000,498.885722
6.000000,0.500000,880.000000,506.697060
6.000000,0.500000,885.000000,511.632843
6.000000,0.500000,890.000000,513.781318
6.000000,0.500000,895.000000,513.165040
6.000000,0.500000,900.000000,509.791528
6.000000,0.500000,905.000000,503.756896
6.000000,0.500000,910.000000,494.957110
6.000000,0.500000,915.000000,483.443194
6.000000,0.500000,920.000000,469.157136
6.000000,0.500000,925.000000,452.072533
6.000000,0.500000,930.000000,432.079582
6.000000,0.500000,935.000000,409.133079
6.000000,0.500000,940.000000,383.106016
6.000000,0.500000,945.000000,353.963483
6.000000,0.500000,950.000000,321.496470
6.000000,0.600000,800.000000,-179.539140
6.000000,0.600000,805.000000,-101.108627
6.000000,0.600000,810.000000,-29.309661
6.000000,0.600000,815.000000,36.304453
6.000000,0.600000,820.000000,96.138631
6.000000,0.600000,825.000000,150.561288
6.000000,0.600000,830.000000,199.902756
6.000000,0.600000,835.000000,244.468070
6.000000,0.600000,840.000000,284.528175
6.000000,0.600000,845.000000,320.328680
6.000000,0.600000,850.000000,352.090153
6.000000,0.600000,855.000000,380.013539
6.000000,0.600000,860.000000,404.274628
6.000000,0.600000,865.000000,425.032383
6.000000,0.600000,870.000000,442.406576
6.000000,0.600000,875.000000,456.562901
6.000000,0.600000,880.000000,467.557348
6.000000,0.600000,885.000000,475.451825
6.000000,0.600000,890.000000,480.416560
6.000000,0.600000,895.000000,482.414301
6.000000,0.600000,900.000000,481.514917
6.000000,0.600000,905.000000,477.721063
6.000000,0.600000,910.000000,471.054993
6.000000,0.600000,915.000000,461.490570
6.000000,0.600000,920.000000,449.029782
6.000000,0.600000,925.000000,433.603095
6.000000,0.600000,930.000000,415.181295
6.000000,0.600000,935.000000,393.674009
6.000000,0.600000,940.000000,369.015156
6.000000,0.600000,945.000000,341.090546
6.000000,0.600000,950.000000,309.769836
6.000000,0.700000,800.000000,-297.146402
6.000000,0.700000,805.000000,-211.030363
6.000000,0.700000,810.000000,-132.027811
6.000000,0.700000,815.000000,-59.657064
6.000000,0.700000,820.000000,6.519404
6.000000,0.700000,825.000000,66.897684
6.000000,0.700000,830.000000,121.835724
6.000000,0.700000,835.000000,171.660361
6.000000,0.700000,840.000000,216.664681
6.000000,0.700000,845.000000,257.113657
6.000000,0.700000,850.000000,293.245511
6.000000,0.700000,855.000000,325.276785
6.000000,0.700000,860.000000,353.401752
6.000000,0.700000,865.000000,377.779293
6.000000,0.700000,870.000000,398.574121
6.000000,0.700000,875.000000,415.911708
6.000000,0.700000,880.000000,429.897890
6.000000,0.700000,885.000000,440.630176
6.000000,0.700000,890.000000,448.197504
6.000000,0.700000,895.000000,452.663696
6.000000,0.700000,900.000000,454.057870
6.000000,0.700000,905.000000,452.408783
6.000000,0.700000,910.000000,447.711152
6.000000,0.700000,915.000000,440.048973
6.000000,0.700000,920.000000,429.328071
6.000000,0.700000,925.000000,415.496046
6.000000,0.700000,930.000000,398.603118
6.000000,0.700000,935.000000,378.493261
6.000000,0.700000,940.000000,355.107545
6.000000,0.700000,945.000000,328.409949
6.000000,0.700000,950.000000,298.226427
6.000000,0.800000,800.000000,-407.738562
6.000000,0.800000,805.000000,-314.507200
6.000000,0.800000,810.000000,-228.835607
6.000000,0.800000,815.000000,-150.209101
6.000000,0.800000,820.000000,-78.159369
6.000000,0.800000,825.000000,-12.264155
6.000000,0.800000,830.000000,47.860609
6.000000,0.800000,835.000000,102.562388
6.000000,0.800000,840.000000,152.155194
6.000000,0.800000,845.000000,196.922280
6.000000,0.800000,850.000000,237.118493
6.000000,0.800000,855.000000,272.974996
6.000000,0.800000,860.000000,304.699524
6.000000,0.800000,865.000000,332.467458
6.000000,0.800000,870.000000,356.429747
6.000000,0.800000,875.000000,376.774598
6.000000,0.800000,880.000000,393.585393
6.000000,0.800000,885.000000,406.965992
6.000000,0.800000,890.000000,417.014861
